dataset,exp,config,label,rounds,dP_per_round,time,threshold_round,threshold_frac,cut_mean,cut_max,cut_std,gap_pct_mean,gap_pct_best,mean_pairwise,median_pairwise,min_pairwise,max_pairwise,n_distinct,n_distinct_cuts,frozen_frac,entropy_bits,n_near,near_mean_pairwise,near_n_distinct
G55,3,noise100x,ノイズ 100x,9600,2.520304854118271e-05,11.33914639998693,3535.4712588045695,0.368278256125476,10173.65625,10196.0,13.049447725382864,1.2170477716283135,1.0000970968055152,0.4120270161290322,0.42169999999999996,0.1584,0.4998,32,24,0.0,0.9212535074806394,0,nan,0
G55,3,noise1000x,ノイズ 1000x,9600,2.520304854118271e-05,11.489326000097208,3535.4712588045695,0.368278256125476,10180.21875,10205.0,15.735577473912421,1.1533279930090299,0.9127099718419265,0.4210645161290323,0.4284,0.2208,0.4998,32,25,0.0002,0.9243202945110678,0,nan,0
G55,4,async0.5par,部分更新 f=0.5,19200,1.2601524270591355e-05,23.33600110001862,7070.942517609139,0.368278256125476,10176.59375,10203.0,14.19696132760458,1.1885255850082532,0.932129332944946,0.371591129032258,0.381,0.1344,0.4974,32,25,0.0012,0.894034828849023,0,nan,0
G55,4,async0.25par,部分更新 f=0.25,38400,6.3007621352956775e-06,32.45892989996355,14141.885035218278,0.368278256125476,10176.875,10212.0,14.273555093248493,1.185794737353141,0.8447422079813574,0.3908346774193548,0.4031,0.1198,0.4994,32,22,0.0034,0.8747156623327386,0,nan,0
G55,4,async0.5seq,逐次更新 f=0.5,19200,1.2601524270591355e-05,32.00539289996959,7070.942517609139,0.368278256125476,10180.75,10213.0,14.190665946318376,1.1481697252160403,0.8350325274298475,0.3641556451612903,0.3724,0.115,0.4988,32,24,0.0032,0.8272070738800372,0,nan,0
G55,4,async0.25seq,逐次更新 f=0.25,38400,6.3007621352956775e-06,40.93680340005085,14141.885035218278,0.368278256125476,10178.4375,10206.0,13.167045748762325,1.170623361491407,0.9030002912904166,0.381158064516129,0.389,0.0822,0.4996,32,24,0.0046,0.8859849897678154,0,nan,0
G70,0,baseline,baseline,4800,8.842480587996874e-06,10.05113350006286,4403.557761416315,0.9174078669617323,9479.625,9501.0,13.690210918755051,1.1612449171097905,0.9383797309978105,0.3810163306451613,0.38995,0.1435,0.4997,32,26,0.0133,0.8247869322661642,0,nan,0
G70,1,init1e-05,初期振幅 1e-05,4800,8.842480587996874e-06,9.862927200039849,4403.557761416315,0.9174078669617323,9480.5625,9499.0,11.352140491995332,1.15147012824523,0.9592326139088728,0.37613084677419356,0.38295,0.1186,0.4996,32,24,0.0972,0.7788328361786329,0,nan,0
G70,1,init0.001,初期振幅 0.001,4800,8.842480587996874e-06,9.70335820002947,4403.557761416315,0.9174078669617323,9480.5625,9499.0,11.352140491995332,1.15147012824523,0.9592326139088728,0.37613084677419356,0.38295,0.1186,0.4996,32,24,0.0972,0.7788328361786329,0,nan,0
G70,1,init0.1,初期振幅 0.1,4800,8.842480587996874e-06,9.646397999953479,4403.557761416315,0.9174078669617323,9480.5625,9499.0,11.352140491995332,1.15147012824523,0.9592326139088728,0.37613084677419356,0.38295,0.1186,0.4996,32,24,0.0972,0.7788328361786329,0,nan,0
G70,2,dp0.25x,ramp 0.25x,4800,2.2106201469992186e-06,9.636338700074703,17614.23104566526,1.0,9453.09375,9468.0,7.592592504375564,1.4378714419768532,1.282452299030341,0.3332040322580645,0.34855,0.0939,0.4991,32,18,0.197,0.6844556071447844,0,nan,0
G70,2,dp4x,ramp 4x,4800,3.53699223519875e-05,9.706573799951002,1100.8894403540787,0.22935196674043307,9455.03125,9478.0,12.130757331572502,1.4176702116567617,1.1781878844750286,0.4009485887096774,0.41415,0.2117,0.4992,32,25,0.0,0.9045468977325342,0,nan,0
G70,2,dp16x,ramp 16x,4800,0.00014147968940795,10.705122799961828,275.2223600885197,0.05733799168510827,9411.53125,9465.0,16.831860367692574,1.87122041497237,1.3137316233969347,0.4477502016129033,0.4545,0.2701,0.4999,32,20,0.0,0.9491745144501345,0,nan,0
G70,2,dp64x,ramp 64x,4800,0.0005659187576318,11.750742500065826,68.80559002212992,0.014334497921277067,9350.90625,9392.0,17.68714111826725,2.5033234282139505,2.074861849650714,0.47373608870967737,0.47775,0.4029,0.4999,32,28,0.0,0.9679703343549876,0,nan,0
G70,3,noise10x,ノイズ 10x,4800,8.842480587996874e-06,9.922380800009705,4403.557761416315,0.9174078669617323,9478.125,9505.0,14.280121673151108,1.1768845792930873,0.8966739651756854,0.3890540322580645,0.39805,0.1393,0.4993,32,24,0.0155,0.8428040235957563,0,nan,0
G70,3,noise100x,ノイズ 100x,4800,8.842480587996874e-06,9.707763600046746,4403.557761416315,0.9174078669617323,9476.28125,9503.0,14.394517999485082,1.196108330726723,0.917526848086748,0.4003502016129032,0.406,0.1572,0.4985,32,24,0.0,0.8698862851216294,0,nan,0
G70,3,noise1000x,ノイズ 1000x,4800,8.842480587996874e-06,9.646204399992712,4403.557761416315,0.9174078669617323,9475.46875,9501.0,11.616218121122726,1.2045798144093423,0.9383797309978105,0.41389717741935483,0.42245,0.2012,0.5,32,20,0.0007,0.9038848711719784,0,nan,0
G70,4,async0.5par,部分更新 f=0.5,9600,4.421240293998437e-06,20.322696899995208,8807.11552283263,0.9174078669617323,9483.09375,9506.0,14.094235024913555,1.1250781983109164,0.8862475237201543,0.37047116935483865,0.38215,0.1366,0.4997,32,22,0.0204,0.8013703373709125,0,nan,0
G70,4,async0.25par,部分更新 f=0.25,19200,2.2106201469992186e-06,27.509761199937202,17614.23104566526,0.9174078669617323,9479.28125,9501.0,11.446163044334988,1.1648290063601292,0.9383797309978105,0.37177419354838703,0.37485,0.1323,0.499,32,24,0.0,0.8745358303936653,0,nan,0
G70,4,async0.5seq,逐次更新 f=0.5,9600,4.421240293998437e-06,27.159346000058576,8807.11552283263,0.9174078669617323,9486.71875,9507.0,11.702655614752576,1.0872823480346159,0.8758210822646231,0.35626008064516124,0.3619,0.1446,0.4999,32,24,0.0424,0.7705994857589876,0,nan,0
G70,4,async0.25seq,逐次更新 f=0.25,19200,2.2106201469992186e-06,33.79765279998537,17614.23104566526,0.9174078669617323,9476.1875,9491.0,11.209475623328684,1.1970858096131791,1.0426441455531228,0.3707256048387097,0.37705,0.1417,0.4994,32,20,0.0988,0.7767386582232675,0,nan,0
